Region,Year,Wine,Beer,Vodka,Sparkling wine,Brandy,Сider,Liqueurs,Total alcohol consumption (in liters of pure alcohol per capita)
Belgorod Oblast,2017,1.79,60.00,3.52,0.78,0.31,1.52,0.14,5.6
Bryansk Oblast,2017,3.02,34.21,4.29,0.83,0.46,0.86,0.69,4.8
Vladimir Oblast,2017,3.70,58.93,6.73,0.91,0.78,1.60,0.54,7.5
Voronezh Oblast,2017,2.68,33.17,3.69,1.04,0.60,0.91,0.32,4.4
Ivanovo Oblast,2017,3.42,41.01,5.69,0.83,0.60,1.36,0.61,5.9
Kaluga Oblast,2017,3.98,41.78,6.21,1.24,0.86,0.79,0.61,6.4
Kostroma Oblast,2017,3.43,48.64,7.68,0.85,0.60,2.52,0.62,7.2
Kursk Oblast,2017,2.16,30.90,3.66,0.99,0.50,0.75,0.27,4.1
Lipetsk Oblast,2017,2.59,41.46,4.03,0.90,0.51,0.71,0.35,5.0
Moscow Oblast,2017,5.82,48.33,7.61,1.98,1.39,0.86,0.62,7.9
Oryol Oblast,2017,2.60,34.86,3.85,1.12,0.58,1.01,0.30,4.6
Ryazan Oblast,2017,3.17,60.62,4.36,1.06,0.61,1.19,0.39,6.4
Smolensk Oblast,2017,3.63,45.33,6.35,1.31,0.89,1.34,0.46,6.6
Tambov Oblast,2017,1.98,36.34,3.02,0.64,0.40,0.55,0.27,4.1
Tver Oblast,2017,4.20,42.15,6.92,1.22,0.82,1.74,0.66,6.7
Tula Oblast,2017,3.31,38.33,4.19,0.86,0.64,0.91,0.43,5.0
Yaroslavl Oblast,2017,4.87,42.70,7.41,1.23,1.03,1.06,0.54,7.1
Moscow,2017,5.35,66.54,4.78,1.87,1.05,0.87,0.40,7.5
Republic of Karelia,2017,6.79,54.64,11.12,1.42,1.38,1.13,0.93,9.9
Komi Republic,2017,4.99,61.94,11.36,1.45,1.08,1.03,0.67,9.9
Nenets Autonomous Okrug,2017,8.47,51.31,8.97,2.31,1.03,1.14,0.31,8.8
Vologda Oblast,2017,4.56,46.27,8.59,0.92,0.73,1.04,0.68,7.6
Kaliningrad Oblast,2017,4.82,29.02,3.79,0.92,0.77,0.99,0.37,4.6
Leningrad Oblast,2017,5.90,48.59,7.86,1.62,1.46,1.14,0.70,8.0
Murmansk Oblast,2017,5.32,65.58,8.91,2.40,1.90,0.94,0.70,9.7
Novgorod Oblast,2017,4.49,48.69,6.54,1.10,1.00,1.66,0.57,7.1
Pskov Oblast,2017,4.13,48.48,5.60,1.35,0.82,2.32,0.44,6.6
Saint Petersburg,2017,6.66,35.70,4.96,2.03,1.37,1.08,0.49,6.2
Arkhangelsk Oblast,2017,4.98,45.68,9.40,1.59,0.97,1.15,0.67,8.1
Republic of Adygea,2017,2.83,87.51,3.92,1.00,0.56,1.55,0.21,7.8
Republic of Kalmykia,2017,0.94,18.03,3.16,0.22,0.37,0.23,0.07,2.7
Republic of Crimea,2017,3.91,41.17,3.87,1.50,0.88,1.08,0.15,5.3
Krasnodar Krai,2017,3.88,38.81,3.23,1.46,0.74,0.70,0.20,4.8
Astrakhan Oblast,2017,2.02,31.53,3.77,0.58,0.55,1.01,0.19,4.1
Volgograd Oblast,2017,2.29,33.73,2.92,0.98,0.53,1.10,0.23,4.0
Rostov Oblast,2017,2.03,31.86,2.51,0.95,0.54,0.80,0.18,3.7
Sevastopol,2017,5.38,43.19,5.79,2.82,1.16,1.51,0.25,6.7
Republic of Dagestan,2017,0.22,5.45,0.77,0.10,0.20,0.01,0.01,0.8
Republic of Ingushetia,2017,0.02,0.32,0.22,0.00,0.01,0.00,0.00,0.1
Kabardino-Balkar Republic,2017,0.36,6.90,0.53,0.18,0.14,0.04,0.01,0.8
Karachay-Cherkess Republic,2017,0.65,20.95,0.77,0.24,0.18,0.04,0.05,1.8
Republic of North Ossetia-Alania,2017,0.36,2.93,0.27,0.34,0.10,0.02,0.01,0.4
Chechen Republic,2017,0.01,0.37,0.08,0.00,0.01,0.00,0.00,0.1
